id_est;cod_param;altura;id_reg
233;WSPD;10;M
271;PM10;;M
271;PM25;;M
149;0001;;M
149;0002;;M
149;0003;;M
149;0004;;M
149;0008;;M
149;0NOX;;M
149;PM10;;M
149;PM25;;M
149;RHUM;;M
149;RHUM;3;M
149;TEMP;;M
149;TEMP;3;M
149;WDIR;;M
149;WDIR;10;M
149;WSPD;;M
149;WSPD;10;M
273;0001;;M
273;0002;;M
273;0003;;M
273;0004;;M
273;0008;;M
273;0NOX;;M
273;CORG;;M
273;CTOT;;M
273;PM10;;M
273;PM1D;;M
273;PM25;;M
273;PM2D;;M
273;RHUM;3;M
273;RHUM;;M
273;TEMP;;M
273;TEMP;3;M
273;WDIR;10;M
273;WDIR;;M
273;WSPD;;M
273;WSPD;10;M
197;0001;;M
197;0002;;M
197;0003;;M
197;0004;;M
197;0008;;M
197;0NOX;;M
197;PM10;;M
197;PM25;;M
197;RHUM;;M
197;RHUM;3;M
197;TEMP;;M
197;TEMP;3;M
197;WDIR;10;M
197;WDIR;;M
197;WSPD;;M
197;WSPD;10;M
113;0001;;VI
113;0002;;VI
113;0003;;VI
113;0004;;VI
113;0008;;VI
113;0CH4;;VI
113;0NOX;;VI
113;NMHC;;VI
113;PM10;;VI
113;THCM;;VI
113;GLOB;2;VI
113;RAIN;2;VI
113;RHUM;3;VI
113;TEMP;3;VI
113;TEMP;2;VI
113;WDIR;10;VI
113;WSPD;10;VI
59;GLOB;2;VI
59;GLOB;5;VI
59;RAIN;2;VI
59;RAIN;4;VI
59;RHUM;2;VI
59;RHUM;4;VI
59;TEMP;2;VI
59;TEMP;4;VI
59;WDIR;10;VI
59;WSPD;10;VI
173;0001;;VI
173;PM10;;VI
173;WDIR;;VI
173;WDIR;8;VI
173;WDIR;10;VI
173;WSPD;;VI
173;WSPD;8;VI
173;WSPD;10;VI
246;0001;;VI
246;WDIR;10;VI
246;WDIR;;VI
246;WDIR;8;VI
246;WSPD;;VI
246;WSPD;8;VI
246;WSPD;10;VI
225;0001;;VI
225;PM10;;VI
225;WDIR;;VI
225;WDIR;8;VI
225;WDIR;10;VI
225;WSPD;;VI
225;WSPD;8;VI
225;WSPD;10;VI
65;0001;;VI
65;PM10;;VI
65;ARSE;;VI
65;00Pb;;VI
65;WDIR;;VI
65;WDIR;10;VI
65;WSPD;;VI
65;WSPD;10;VI
58;0001;;VI
58;0002;;VI
58;0003;;VI
58;0004;;VI
58;0008;;VI
58;0CH4;;VI
58;0NOX;;VI
58;NMHC;;VI
58;THCM;;VI
58;PM10;;VI
58;RAIN;2;VI
58;RHUM;2;VI
58;RHUM;3;VI
58;TEMP;2;VI
58;TEMP;3;VI
58;WDIR;10;VI
58;WSPD;10;VI
112;0001;;VI
112;0002;;VI
112;0003;;VI
112;0004;;VI
112;0008;;VI
112;0CH4;;VI
112;0NOX;;VI
112;NMHC;;VI
112;PM10;;VI
112;THCM;;VI
112;RAIN;2;VI
112;RHUM;2;VI
112;RHUM;3;VI
112;TEMP;2;VI
112;TEMP;3;VI
112;WDIR;10;VI
112;WSPD;10;VI
250;0001;;VI
250;0002;;VI
250;0003;;VI
250;0004;;VI
250;0008;;VI
250;0NOX;;VI
250;PM10;;VI
250;PM25;;VI
250;GLOB;3;VI
250;GLOB;;VI
250;GLOB;2;VI
250;PRES;3;VI
250;PRES;;VI
250;PRES;2;VI
250;RAIN;;VI
250;RAIN;4;VI
250;RAIN;2;VI
250;RHUM;;VI
250;RHUM;3;VI
250;RHUM;2;VI
250;TEMP;;VI
250;TEMP;10;VI
250;TEMP;2;VI
250;WDIR;10;VI
250;WDIR;;VI
250;WSPD;;VI
250;WSPD;10;VI
220;PM10;;VI
220;PM25;;VI
220;GLOB;2;VI
220;GLOB;3;VI
220;RHUM;3;VI
220;RHUM;2;VI
220;TEMP;10;VI
220;TEMP;2;VI
220;WDIR;10;VI
220;WDIR;2;VI
220;WSPD;2;VI
220;WSPD;10;VI
212;0008;;VI
212;PM10;;VI
212;PM25;;VI
212;GLOB;2;VI
212;GLOB;3;VI
212;GLOB;;VI
212;PRES;2;VI
212;PRES;;VI
212;RHUM;2;VI
212;RHUM;3;VI
212;RHUM;;VI
212;TEMP;;VI
212;TEMP;10;VI
212;TEMP;2;VI
212;WDIR;10;VI
212;WDIR;;VI
212;WSPD;10;VI
212;WSPD;;VI
152;0001;;VI
152;0002;;VI
152;0003;;VI
152;0004;;VI
152;0008;;VI
152;0NOX;;VI
152;PM10;;VI
152;GLOB;6;VI
152;RAIN;6;VI
152;RHUM;;VI
152;RHUM;6;VI
152;TEMP;6;VI
152;WDIR;10;VI
152;WSPD;10;VI
47;0001;;VI
47;0003;;VI
47;0004;;VI
47;0008;;VI
47;PM10;;VI
47;0002;;VI
47;0NOX;;VI
47;RHUM;;VI
47;TEMP;;VI
47;WDIR;;VI
47;WSPD;;VI
244;0008;;VI
244;PM10;;VI
244;PM25;;VI
244;GLOB;3;VI
244;GLOB;;VI
244;GLOB;2;VI
244;PRES;;VI
244;PRES;3;VI
244;PRES;2;VI
244;RHUM;3;VI
244;RHUM;;VI
244;RHUM;2;VI
244;TEMP;2;VI
244;TEMP;10;VI
244;TEMP;;VI
244;TEMP;3;VI
244;WDIR;;VI
244;WDIR;10;VI
244;WSPD;;VI
244;WSPD;10;VI
287;PM10;;VII
287;PM25;;VII
287;PRES;3;VII
287;RHUM;3;VII
287;TEMP;3;VII
287;WDIR;10;VII
287;WSPD;10;VII
269;PM10;;VII
269;PM25;;VII
269;GLOB;3;VII
269;RHUM;3;VII
269;TEMP;3;VII
269;TEMP;10;VII
269;WDIR;10;VII
269;WSPD;10;VII
53;PM10;;VII
53;PM25;;VII
181;PM25;;VII
181;GLOB;3;VII
181;RHUM;3;VII
181;TEMP;10;VII
181;WDIR;10;VII
181;WSPD;10;VII
276;0001;;VII
276;0002;;VII
276;0003;;VII
276;0004;;VII
276;0008;;VII
276;0NOX;;VII
276;PM10;;VII
276;PM25;;VII
276;PRES;2;VII
276;PRES;3;VII
276;RHUM;3;VII
276;TEMP;10;VII
276;TEMP;3;VII
276;WDIR;10;VII
276;WSPD;10;VII
230;PM10;;VII
230;PM25;;VII
230;PRES;2;VII
230;PRES;3;VII
230;RHUM;3;VII
230;TEMP;3;VII
230;TEMP;10;VII
230;WDIR;10;VII
